Date,MSFT,JNJ,MMM,NKE,V,HD,BA,UNH,MCD,VYM,TIP,VTI,AGG,FTCC,T-bill
26-Mar-18,0.075705437,0.018145484,0.0227526,0.019805044,0.031111111,0.026949942,0.024641745,0.03058104,0.019679959,0.025395245,-0.001781103,0.02637115,-0.000376046,0.001,0.017
27-Mar-18,-0.045958627,-0.001256183,-0.019930991,0.003944773,-0.026856764,-0.009918948,-0.023684291,-0.004976033,-0.003480352,-0.011290518,0.003836203,-0.017714662,0.002915452,0,0
28-Mar-18,-0.000894154,0.001886644,0.00310372,-0.01360133,-0.003492334,0.00045798,-0.003425511,0.002477519,0.005905512,0.001105108,0,-0.002310157,0.000562641,0,0
29-Mar-18,0.021031435,0.00549235,0.013761892,0.005209131,0.022480554,0.019913024,0.024560965,-0.020594966,-0.012814848,0.011774807,0.002132954,0.013743651,0.002905342,0,0
2-Apr-18,-0.030130382,-0.028014046,-0.031432216,-0.022709953,-0.010282561,-0.029959605,-0.016591436,0.014953271,0.008568871,-0.022426961,0.000975523,-0.022767462,-0.001027941,0,0
3-Apr-18,0.01344329,0.030427103,0.01744897,0.040237056,0.006841794,0.004973973,0.025989331,0.033977901,0.016992138,0.014012897,-0.000620183,0.012440624,-0.001122544,0,0
4-Apr-18,0.029205217,0.016049864,0.005685758,0.025787106,0.00511745,0.021178637,-0.010217036,0.018746104,0.008291771,0.011617953,-0.000531915,0.011245159,0.000374602,0,0
5-Apr-18,0.000541536,0.002300437,0.005102041,0.017100263,0.011518237,0.009524346,0.027363792,0.00122383,0.013726581,0.006407157,-0.002838389,0.006996097,-0.001404231,0,0
6-Apr-18,-0.023273436,-0.019967868,-0.029359309,-0.029314557,-0.028797756,-0.026126277,-0.030558859,-0.022307592,-0.016468435,-0.02006006,0.004002846,-0.020988738,0.00224993,0,0
9-Apr-18,0.005984706,0.010772834,0.002638398,-0.005477424,0.009260833,-0.011120665,-0.011161536,-0.005492052,-0.000124031,0.003799951,-0.000177195,0.00336147,0.00084183,0,0
10-Apr-18,0.023245566,0.005946864,0.019594944,-0.002679369,0.016247159,0.00568083,0.038296949,0.018228348,0.009551572,0.016485529,-0.000443066,0.016229899,-0.000747664,0,0
11-Apr-18,-0.010981912,-0.004760077,-0.012213107,-0.002537313,-0.007786614,-0.003631333,-0.022309829,-0.021561797,0.00288751,-0.00528592,0.002925532,-0.004615385,0.000841751,0,0
12-Apr-18,0.018724145,0.006171411,0.009751318,0.014065539,0.010769745,0.002892514,0.030913978,0.010545291,-0.009924038,0.006642512,-0.00159109,0.008095974,-0.002242781,0,0
13-Apr-18,-0.005343022,0.00145672,-0.004158581,-0.007673012,-0.002643099,-0.003230272,-0.024297736,0.00017838,0.000680609,-0.002039592,0.001416556,-0.002847339,0.000280978,0,0
16-Apr-18,0.011710357,0.008727607,0.010115071,-0.002825279,0.009358178,0.00943287,0.007561953,0.026930622,-0.000618314,0.008295263,-0.000884095,0.008346756,0.000187266,0,0
17-Apr-18,0.020176277,-0.009259259,0.010978411,0.006710409,0.0157532,0.00275182,0.014919975,0.035732893,0.005692013,0.006319304,0.001504292,0.010528609,0.000280846,0,0
18-Apr-18,0.003851358,-0.021602574,-0.00258985,-0.019404533,0.00549273,0.028243096,0.012710858,-0.009012786,-0.004552445,-0.001303318,-0.002032161,0.001365237,-0.002807674,0,0
19-Apr-18,-0.003421817,-0.001331037,-0.003052114,-0.007099698,-0.004177378,-0.015401724,-0.001055718,-0.002707276,-0.0140906,-0.007592834,-0.001593625,-0.005453502,-0.002440169,0,0
20-Apr-18,-0.011549266,-0.006977656,-0.005026274,0.005476951,0.001936108,-0.000395302,-0.005783232,-0.002969121,-0.004763994,-0.006216378,-0.003458367,-0.007936508,-0.002728385,0,0
23-Apr-18,0.003684211,0.001342176,-0.00858783,0.011953397,0.002093398,0.003672109,0.000501964,-0.003063048,0.001385652,0.002165283,-0.000266951,-0.000363636,-0.000471698,0,0
24-Apr-18,-0.02338752,-0.005046125,-0.068324995,0.001345694,-0.025630725,-0.007880221,-0.02886318,-0.000512076,-0.010503805,-0.009722722,-0.002759235,-0.012004365,-0.001321378,0,0
25-Apr-18,-0.008698454,0.004516998,-0.011385671,-0.004479618,-0.000494764,0.006410984,0.041937641,0.002903253,-0.00877193,0.002060606,-0.001517315,0.001104566,-0.001323126,0,0
26-Apr-18,0.021124472,0.009861155,-0.008801046,0.020698965,0.048428347,0.046958679,-0.000204165,0.009067688,0.01898166,0.007862586,0.002592295,0.009488783,0.001703416,0,0
27-Apr-18,0.016549968,0.002031091,-0.004921609,0.022189566,-0.008419893,0.003984493,-0.005571925,0.013289457,-0.00377596,0.001080173,0.0032097,0.000655785,0.001228153,0,0